englishName,isPlanet,density,gravity,discoveredBy,discoveryDate,bodyType,bodyId
S/2006 S 20,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2006,Moon,314
S/2007 S 5,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2007,Moon,315
S/2007 S 6,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2007,Moon,316
S/2007 S 7,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna,2007,Moon,317
S/2007 S 8,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2007,Moon,318
S/2007 S 9,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman,2007,Moon,319
S/2019 S 1,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y C. Veillet y M. Alexandersen,2019,Moon,320
S/2019 S 10,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2019,Moon,321
S/2019 S 11,False,0,0,S.S. Sheppard y D.C. Jewitt y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2019,Moon,322
S/2019 S 12,False,0,0,E.J. Ashton y B.J. Gladman,2019,Moon,323
S/2019 S 13,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2019,Moon,324
S/2019 S 14,False,0,0,E.J. Ashton y B.J. Gladman,2019,Moon,325
S/2019 S 15,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2019,Moon,326
S/2019 S 16,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2019,Moon,327
S/2019 S 17,False,0,0,S.S. Sheppard y  y D.C. Jewitt y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2019,Moon,328
S/2019 S 18,False,0,0,S.S. Sheppard y D.C. Jewitt y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2019,Moon,329
S/2019 S 19,False,0,0,E.J. Ashton y B.J. Gladman,2019,Moon,330
S/2019 S 2,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2019,Moon,331
S/2019 S 20,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2019,Moon,332
S/2019 S 21,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2019,Moon,333
S/2019 S 3,False,0,0,E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2019,Moon,334
S/2019 S 4,False,0,0,E.J. Ashton y B.J. Gladman,2019,Moon,335
S/2019 S 5,False,0,0,E.J. Ashton y B.J. Gladman,2019,Moon,336
